

"Area","Area Id","Variable Name","Variable Id","Year","Value","Symbol","Md"
"Austria",11,"Harvested irrigated temporary crop area: Potatoes",4352,1995,4.62,"E","",""
"Austria",11,"Harvested irrigated temporary crop area: Potatoes",4352,2003,4.3,"E","",""
"Austria",11,"Harvested irrigated temporary crop area: Potatoes",4352,2008,3.2,"I","",""
"Austria",11,"Harvested irrigated temporary crop area: Leguminous crops",4359,2008,6.5,"I","",""
"Austria",11,"Harvested irrigated temporary crop area: Sugar beet",4358,1995,12.19,"E","",""
"Austria",11,"Harvested irrigated temporary crop area: Sugar beet",4358,2003,9.13,"E","",""
"Austria",11,"Harvested irrigated temporary crop area: Sugar beet",4358,2008,6.7,"I","",""
"Austria",11,"Harvested irrigated temporary crop area: Fodder",4369,1995,0.51,"E","",""
"Austria",11,"Harvested irrigated temporary crop area: Fodder",4369,2003,0.62,"E","",""
"Austria",11,"Harvested irrigated temporary crop area: Other crops",4377,2008,4.2,"I","[6]",""
"Austria",11,"Harvested irrigated permanent crop area: Citrus",4362,1995,0.0,"","",""
"Austria",11,"Harvested irrigated permanent crop area: Citrus",4362,2003,0.0,"","",""
"Austria",11,"Harvested irrigated permanent crop area: Grapes",4523,1995,2.51,"E","",""
"Austria",11,"Harvested irrigated permanent crop area: Grapes",4523,2003,4.51,"E","",""
"Austria",11,"Harvested irrigated permanent crop area: Other fruits",4524,2008,4.7,"I","",""
"Austria",11,"Harvested irrigated permanent crop area: Other crops",4378,1995,1.16,"E","",""
"Austria",11,"Harvested irrigated permanent crop area: Other crops",4378,2003,1.78,"E","",""
"Azerbaijan",52,"Harvested irrigated temporary crop area: Wheat",4345,1995,296.1,"","",""
"Azerbaijan",52,"Harvested irrigated temporary crop area: Wheat",4345,2004,610.9,"","",""
"Azerbaijan",52,"Harvested irrigated temporary crop area: Rice",4346,1995,1.908,"","",""
"Azerbaijan",52,"Harvested irrigated temporary crop area: Rice",4346,2004,2.573,"","",""
"Azerbaijan",52,"Harvested irrigated temporary crop area: Barley",4347,1995,110.7,"","",""
"Azerbaijan",52,"Harvested irrigated temporary crop area: Barley",4347,2004,158.9,"","",""
"Azerbaijan",52,"Harvested irrigated temporary crop area: Maize",4348,1995,6.768,"","",""
"Azerbaijan",52,"Harvested irrigated temporary crop area: Maize",4348,2004,33.19,"","",""
"Azerbaijan",52,"Harvested irrigated temporary crop area: Other cereals",4351,1995,1.472,"","",""
"Azerbaijan",52,"Harvested irrigated temporary crop area: Other cereals",4351,2004,9.302,"","",""
"Azerbaijan",52,"Harvested irrigated temporary crop area: Vegetables",4360,1995,4.047,"","",""
"Azerbaijan",52,"Harvested irrigated temporary crop area: Vegetables",4360,2004,77.25,"","",""
"Azerbaijan",52,"Harvested irrigated temporary crop area: Sunflower",4373,2004,11.38,"","",""
"Azerbaijan",52,"Harvested irrigated temporary crop area: Potatoes",4352,2004,65.8,"","",""
"Azerbaijan",52,"Harvested irrigated temporary crop area: Other roots and tubers",4355,1995,6.091,"","",""
"Azerbaijan",52,"Harvested irrigated temporary crop area: Leguminous crops",4359,1995,0.041,"","",""
"Azerbaijan",52,"Harvested irrigated temporary crop area: Sugar beet",4358,2004,3.202,"","",""
"Azerbaijan",52,"Harvested irrigated temporary crop area: Cotton",4367,1995,210.4,"","",""
"Azerbaijan",52,"Harvested irrigated temporary crop area: Cotton",4367,2004,78.16,"","",""
"Azerbaijan",52,"Harvested irrigated temporary crop area: Tobacco",4366,2004,2.649,"","",""
"Azerbaijan",52,"Harvested irrigated temporary crop area: Other crops",4377,2004,236.8,"I","",""
"Azerbaijan",52,"Harvested irrigated permanent crop area: Oil palm",4370,1995,11.14,"","",""
"Azerbaijan",52,"Harvested irrigated permanent crop area: Tea",4365,2004,3.658,"","",""
"Azerbaijan",52,"Harvested irrigated permanent crop area: Other crops",4378,1995,101.5,"","",""
"Azerbaijan",52,"Harvested irrigated permanent crop area: Other crops",4378,2004,97.75,"","",""
"Bahrain",13,"Harvested irrigated temporary crop area: Vegetables",4360,1994,1.04,"","",""
"Bahrain",13,"Harvested irrigated temporary crop area: Vegetables",4360,2000,1.015,"","[7]",""
"Bahrain",13,"Harvested irrigated temporary crop area: Fodder",4369,1994,0.443,"","",""
"Bahrain",13,"Harvested irrigated temporary crop area: Fodder",4369,2000,0.79,"","[8]",""
"Bahrain",13,"Harvested irrigated permanent crop area: Other crops",4378,1994,1.682,"","",""
"Bahrain",13,"Harvested irrigated permanent crop area: Other crops",4378,2000,2.21,"","",""
"Bangladesh",16,"Harvested irrigated temporary crop area: Wheat",4345,1982,189.6,"","",""
"Bangladesh",16,"Harvested irrigated temporary crop area: Wheat",4345,1987,263.6,"","",""
"Bangladesh",16,"Harvested irrigated temporary crop area: Wheat",4345,1991,282.5,"","",""
"Bangladesh",16,"Harvested irrigated temporary crop area: Wheat",4345,1994,268.6,"","",""
"Bangladesh",16,"Harvested irrigated temporary crop area: Wheat",4345,2008,313.0,"","",""
"Bangladesh",16,"Harvested irrigated temporary crop area: Rice",4346,1982,1339.0,"","",""
"Bangladesh",16,"Harvested irrigated temporary crop area: Rice",4346,1987,1414.0,"","",""
"Bangladesh",16,"Harvested irrigated temporary crop area: Rice",4346,1991,2488.0,"","",""
"Bangladesh",16,"Harvested irrigated temporary crop area: Rice",4346,1994,2684.0,"","",""
"Bangladesh",16,"Harvested irrigated temporary crop area: Rice",4346,2008,4341.0,"","",""
"Bangladesh",16,"Harvested irrigated temporary crop area: Barley",4347,2008,0.81,"","",""
"Bangladesh",16,"Harvested irrigated temporary crop area: Maize",4348,2008,90.0,"","",""
"Bangladesh",16,"Harvested irrigated temporary crop area: Millet",4349,2008,0.4,"","",""
"Bangladesh",16,"Harvested irrigated temporary crop area: Sorghum",4350,2008,0.1,"","",""
"Bangladesh",16,"Harvested irrigated temporary crop area: Other cereals",4351,2008,25.0,"","",""
"Bangladesh",16,"Harvested irrigated temporary crop area: Vegetables",4360,2008,236.0,"","",""
"Bangladesh",16,"Harvested irrigated temporary crop area: Sesame",4374,2008,30.0,"","",""
"Bangladesh",16,"Harvested irrigated temporary crop area: Potatoes",4352,1994,87.11,"","",""
"Bangladesh",16,"Harvested irrigated temporary crop area: Potatoes",4352,2008,263.0,"","",""
"Bangladesh",16,"Harvested irrigated temporary crop area: Leguminous crops",4359,1994,2.889,"","",""
"Bangladesh",16,"Harvested irrigated temporary crop area: Leguminous crops",4359,2008,156.0,"","",""
"Bangladesh",16,"Harvested irrigated temporary crop area: Sugarcane",4357,1994,12.54,"","",""
"Bangladesh",16,"Harvested irrigated temporary crop area: Sugarcane",4357,2008,43.0,"","",""
"Bangladesh",16,"Harvested irrigated temporary crop area: Cotton",4367,2008,6.5,"","",""
"Bangladesh",16,"Harvested irrigated temporary crop area: Tobacco",4366,2008,18.0,"","",""
"Bangladesh",16,"Harvested irrigated temporary crop area: Other crops",4377,1994,109.0,"","",""
"Bangladesh",16,"Harvested irrigated temporary crop area: Other crops",4377,2008,414.0,"","",""
"Bangladesh",16,"Harvested irrigated permanent crop area: Tea",4365,2008,40.0,"","",""
"Bangladesh",16,"Harvested irrigated permanent crop area: Other crops",4378,1994,89.13,"","",""
"Belarus",57,"Harvested irrigated temporary crop area: Vegetables",4360,2011,3.0,"I","",""
"Belarus",57,"Harvested irrigated temporary crop area: Potatoes",4352,2011,2.9,"I","",""
"Belarus",57,"Harvested irrigated temporary crop area: Leguminous crops",4359,2011,2.3,"I","",""
"Belarus",57,"Harvested irrigated permanent crop area: Other fruits",4524,2011,2.3,"I","",""
"Belgium",255,"Harvested irrigated temporary crop area: Barley",4347,2008,1.535,"I","",""
"Belgium",255,"Harvested irrigated temporary crop area: Maize",4348,2003,0.36,"E","",""
"Belgium",255,"Harvested irrigated temporary crop area: Potatoes",4352,2003,0.72,"E","",""
"Belgium",255,"Harvested irrigated temporary crop area: Potatoes",4352,2008,2.3,"I","",""
"Belgium",255,"Harvested irrigated temporary crop area: Sugar beet",4358,2003,0.18,"E","",""
"Belgium",255,"Harvested irrigated temporary crop area: Sugar beet",4358,2008,0.6,"I","",""
"Belgium",255,"Harvested irrigated temporary crop area: Fodder",4369,2003,0.23,"E","",""
"Belgium",255,"Harvested irrigated permanent crop area: Other crops",4378,2003,0.35,"E","",""
"Belgium",255,"Harvested irrigated permanent crop area: Other crops",4378,2008,1.23,"I","",""
"Belize",23,"Harvested irrigated temporary crop area: Rice",4346,1997,0.9,"I","",""
"Belize",23,"Harvested irrigated temporary crop area: Rice",4346,2005,1.338,"","",""
"Belize",23,"Harvested irrigated temporary crop area: Vegetables",4360,2005,0.074,"","[9]",""
"Belize",23,"Harvested irrigated temporary crop area: Sugarcane",4357,2005,0.2,"I","",""
"Belize",23,"Harvested irrigated permanent crop area: Bananas",4361,2005,1.215,"","",""
"Belize",23,"Harvested irrigated permanent crop area: Other fruits",4524,2005,0.721,"","[10]",""
"Belize",23,"Harvested irrigated permanent crop area: Other crops",4378,1997,0.6,"I","",""
"Benin",53,"Harvested irrigated temporary crop area: Rice",4346,1993,7.87,"","",""
"Benin",53,"Harvested irrigated temporary crop area: Rice",4346,2001,0.563,"I","",""
"Benin",53,"Harvested irrigated temporary crop area: Rice",4346,2008,10.94,"","",""
"Benin",53,"Harvested irrigated temporary crop area: Vegetables",4360,1993,0.504,"","",""
"Benin",53,"Harvested irrigated temporary crop area: Vegetables",4360,2008,2.719,"","",""
"Benin",53,"Harvested irrigated temporary crop area: Other roots and tubers",4355,2008,4.625,"","",""
"Benin",53,"Harvested irrigated temporary crop area: Sugarcane",4357,2008,3.514,"","",""
"Benin",53,"Harvested irrigated permanent crop area: Other crops",4378,1993,0.07,"","",""
"Bhutan",18,"Harvested irrigated temporary crop area: Rice",4346,1994,27.4,"","",""
"Bhutan",18,"Harvested irrigated temporary crop area: Rice",4346,2007,30.4,"I","",""
"Bhutan",18,"Harvested irrigated temporary crop area: Potatoes",4352,1994,0.5,"","",""
"Bhutan",18,"Harvested irrigated temporary crop area: Potatoes",4352,2007,0.5,"I","",""
"Bolivia (Plurinational State of)",19,"Harvested irrigated temporary crop area: Wheat",4345,2008,11.14,"","",""
"Bolivia (Plurinational State of)",19,"Harvested irrigated temporary crop area: Rice",4346,2008,35.23,"","",""
"Bolivia (Plurinational State of)",19,"Harvested irrigated temporary crop area: Barley",4347,2008,8.648,"","",""
"Bolivia (Plurinational State of)",19,"Harvested irrigated temporary crop area: Maize",4348,2008,57.57,"","",""
"Bolivia (Plurinational State of)",19,"Harvested irrigated temporary crop area: Sorghum",4350,2008,1.302,"","",""
"Bolivia (Plurinational State of)",19,"Harvested irrigated temporary crop area: Other cereals",4351,2008,6.276,"","",""
"Bolivia (Plurinational State of)",19,"Harvested irrigated temporary crop area: Vegetables",4360,2008,22.82,"","",""
"Bolivia (Plurinational State of)",19,"Harvested irrigated temporary crop area: Groundnuts",4372,2008,1.417,"","",""
"Bolivia (Plurinational State of)",19,"Harvested irrigated temporary crop area: Sesame",4374,2008,0.53,"","",""
"Bolivia (Plurinational State of)",19,"Harvested irrigated temporary crop area: Potatoes",4352,2008,57.75,"","",""
"Bolivia (Plurinational State of)",19,"Harvested irrigated temporary crop area: Sweet potatoes",4353,2008,0.421,"","",""
"Bolivia (Plurinational State of)",19,"Harvested irrigated temporary crop area: Cassava",4354,2008,0.883,"","",""
"Bolivia (Plurinational State of)",19,"Harvested irrigated temporary crop area: Other roots and tubers",4355,2008,2.428,"","",""
"Bolivia (Plurinational State of)",19,"Harvested irrigated temporary crop area: Leguminous crops",4359,2008,27.79,"","",""
"Bolivia (Plurinational State of)",19,"Harvested irrigated temporary crop area: Sugarcane",4357,2008,1.83,"","",""
"Bolivia (Plurinational State of)",19,"Harvested irrigated temporary crop area: Fodder",4369,2008,21.25,"","",""
"Bolivia (Plurinational State of)",19,"Harvested irrigated temporary crop area: Other crops",4377,2008,8.285,"","",""
"Bolivia (Plurinational State of)",19,"Harvested irrigated permanent crop area: Plantains",4356,2008,1.245,"","",""
"Bolivia (Plurinational State of)",19,"Harvested irrigated permanent crop area: Bananas",4361,2008,0.854,"","",""
"Bolivia (Plurinational State of)",19,"Harvested irrigated permanent crop area: Citrus",4362,2008,3.271,"","",""
"Bolivia (Plurinational State of)",19,"Harvested irrigated permanent crop area: Coffee",4364,2008,2.452,"","",""
"Bolivia (Plurinational State of)",19,"Harvested irrigated permanent crop area: Cocoa beans",4363,2008,1.431,"","",""
"Bolivia (Plurinational State of)",19,"Harvested irrigated permanent crop area: Other crops",4378,2008,9.415,"","",""
"Botswana",20,"Harvested irrigated temporary crop area: Maize",4348,1991,0.35,"","",""
"Botswana",20,"Harvested irrigated temporary crop area: Maize",4348,2002,0.35,"I","",""
"Botswana",20,"Harvested irrigated temporary crop area: Vegetables",4360,1991,0.431,"","",""
"Botswana",20,"Harvested irrigated temporary crop area: Vegetables",4360,2002,0.299,"","",""
"Botswana",20,"Harvested irrigated temporary crop area: Fodder",4369,1991,0.22,"","",""
"Botswana",20,"Harvested irrigated temporary crop area: Fodder",4369,2002,0.22,"I","",""
"Botswana",20,"Harvested irrigated temporary crop area: Cotton",4367,1991,0.1,"","",""
"Botswana",20,"Harvested irrigated temporary crop area: Cotton",4367,2002,0.1,"I","",""
"Botswana",20,"Harvested irrigated permanent crop area: Citrus",4362,1991,0.18,"","",""
"Botswana",20,"Harvested irrigated permanent crop area: Citrus",4362,2002,0.321,"","",""
"Botswana",20,"Harvested irrigated permanent crop area: Other crops",4378,1991,0.2,"","",""
"Brazil",21,"Harvested irrigated temporary crop area: Wheat",4345,2006,19.0,"","",""
"Brazil",21,"Harvested irrigated temporary crop area: Rice",4346,1996,910.0,"","",""
"Brazil",21,"Harvested irrigated temporary crop area: Rice",4346,2006,1129.0,"","",""
"Brazil",21,"Harvested irrigated temporary crop area: Maize",4348,2006,559.0,"","",""
"Brazil",21,"Harvested irrigated temporary crop area: Vegetables",4360,1996,318.4,"","",""
"Brazil",21,"Harvested irrigated temporary crop area: Vegetables",4360,2006,151.8,"","",""
"Brazil",21,"Harvested irrigated temporary crop area: Soybeans",4371,2006,624.2,"","",""
"Brazil",21,"Harvested irrigated temporary crop area: Potatoes",4352,2006,23.0,"","",""
"Brazil",21,"Harvested irrigated temporary crop area: Leguminous crops",4359,2006,315.9,"","",""
"Brazil",21,"Harvested irrigated temporary crop area: Sugarcane",4357,2006,1705.0,"","",""
"Brazil",21,"Harvested irrigated temporary crop area: Cotton",4367,2006,207.0,"","",""
"Brazil",21,"Harvested irrigated temporary crop area: Tobacco",4366,2006,64.0,"","",""
"Brazil",21,"Harvested irrigated permanent crop area: Bananas",4361,2006,27.0,"","",""
"Brazil",21,"Harvested irrigated permanent crop area: Citrus",4362,2006,157.5,"","",""
"Brazil",21,"Harvested irrigated permanent crop area: Other fruits",4524,2006,29.0,"","",""
"Brazil",21,"Harvested irrigated permanent crop area: Coffee",4364,2006,262.2,"","",""
"Brunei Darussalam",26,"Harvested irrigated temporary crop area: Rice",4346,1997,0.375,"","",""
"Brunei Darussalam",26,"Harvested irrigated permanent crop area: Other fruits",4524,1995,0.15,"I","",""
"Bulgaria",27,"Harvested irrigated temporary crop area: Wheat",4345,2003,0.01,"E","",""
"Bulgaria",27,"Harvested irrigated temporary crop area: Rice",4346,2011,10.8,"","",""
